,type,responses,trial_type,trial_index,time_elapsed,internal_node_id,mode,subject_cond,exp,uniqueid,success,recalled_list,matching_list,missing_list,shown_list,num_correct,instructions,times,correct_sizes,used_time,list_type,reminder,display_time,id,total_points
1852,reminder-none,,reminder,40.0,1100672.0,0.0-36.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['SHEEP', 'BUFFALO', 'CLOTH', 'DONKEY', 'VELVET', 'SUGAR', 'SUBWAY', 'SAGE', 'RAYON', 'LACE', 'VANILLA', 'GINGER', 'JET', 'MOTORCYCLE', 'TRAILER', 'TIGER']",0.0,False,[],,,categorized_16_1,,0.0,,
1853,text-recall,,text-recall,43.0,1247844.0,0.0-39.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,False,"['BROWN', 'PLUM', 'MANGO', 'CAMEL', 'YACHT', 'STEAMBOAT', 'BARGE', 'TAN', 'CHERRY', 'FIG', 'SLOUP', 'RABBIT', 'DEER', 'GRAY', 'ELEPHANT']","['BROWN', 'PLUM', 'MANGO', 'CAMEL', 'YACHT', 'STEAMBOAT', 'BARGE', 'TAN', 'CHERRY', 'FIG', 'RABBIT', 'DEER', 'GRAY', 'ELEPHANT']","['SLOOP', 'INDIGO']","['SLOOP', 'RABBIT', 'GRAY', 'YACHT', 'BARGE', 'CAMEL', 'MANGO', 'INDIGO', 'ELEPHANT', 'BROWN', 'PLUM', 'FIG', 'STEAMBOAT', 'TAN', 'CHERRY', 'DEER']",14.0,False,"[14692, 2768, 2533, 5437, 3737, 4291, 3325, 1861, 2731, 3654, 5734, 4530, 4614, 3774, 5534]",True,84181.0,categorized_16_3,,,,
1854,reminder-worst,,reminder,44.0,1274465.0,0.0-40.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,False,"['FIG', 'MANGO', 'RABBIT', 'DEER', 'BROWN', 'STEAMBOAT', 'TAN', 'CHERRY']",[],['INDIGO'],"['SLOOP', 'RABBIT', 'GRAY', 'YACHT', 'BARGE', 'CAMEL', 'MANGO', 'INDIGO', 'ELEPHANT', 'BROWN', 'PLUM', 'FIG', 'STEAMBOAT', 'TAN', 'CHERRY', 'DEER']",0.0,False,"[4904, 2340, 1707, 1296, 1595, 2860, 1607, 3002]",,,categorized_16_3,SLOOP,3000.0,,
1855,text-recall,,text-recall,47.0,1460323.0,0.0-43.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,"['TRACK', 'GOLF', 'TANKER', 'FERRY', 'CANARY', 'OWL', 'CHICKEN', 'PENGUIN', 'DESTROYER', 'SOFTBALL', 'FISHING', 'ELM', 'MAPLE', 'BEECH', 'FISHING', 'CEDAR', 'BATTLESHIP']","['TRACK', 'GOLF', 'TANKER', 'FERRY', 'CANARY', 'OWL', 'CHICKEN', 'PENGUIN', 'DESTROYER', 'SOFTBALL', 'FISHING', 'ELM', 'MAPLE', 'BEECH', 'CEDAR', 'BATTLESHIP']",[],"['FERRY', 'BEECH', 'CEDAR', 'PENGUIN', 'CANARY', 'OWL', 'FISHING', 'SOFTBALL', 'DESTROYER', 'TRACK', 'GOLF', 'BATTLESHIP', 'MAPLE', 'TANKER', 'ELM', 'CHICKEN']",16.0,False,"[14998, 1398, 7591, 6189, 3977, 3205, 2155, 5391, 2856, 3300, 2427, 1725, 2248, 5831, 2734, 3956, 3505]",True,90000.0,categorized_16_9,,,,
1856,reminder-none,,reminder,48.0,1461334.0,0.0-44.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['FERRY', 'BEECH', 'CEDAR', 'PENGUIN', 'CANARY', 'OWL', 'FISHING', 'SOFTBALL', 'DESTROYER', 'TRACK', 'GOLF', 'BATTLESHIP', 'MAPLE', 'TANKER', 'ELM', 'CHICKEN']",0.0,False,[],,,categorized_16_9,,0.0,,
1857,text-recall,,text-recall,51.0,1587410.0,0.0-47.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,False,"['ALTERNATIVE', 'JOURNAL', 'HAWK', 'CRANE', 'VULTURE', 'PAPER', 'SOUL', 'NOVEL', 'BLUES', 'EDITORIAL', 'FOG', 'LIGHTNING', 'EARTHQUAKE', 'PUNK', 'FROST']","['ALTERNATIVE', 'JOURNAL', 'HAWK', 'CRANE', 'VULTURE', 'PAPER', 'SOUL', 'NOVEL', 'BLUES', 'EDITORIAL', 'FOG', 'LIGHTNING', 'EARTHQUAKE', 'PUNK', 'FROST']",['FALCON'],"['ALTERNATIVE', 'CRANE', 'NOVEL', 'SOUL', 'JOURNAL', 'FALCON', 'BLUES', 'EDITORIAL', 'HAWK', 'VULTURE', 'LIGHTNING', 'EARTHQUAKE', 'FROST', 'PUNK', 'FOG', 'PAPER']",15.0,False,"[7053, 4181, 3153, 3145, 3484, 4418, 2962, 2210, 7776, 3249, 1162, 4803, 3311, 3102, 1585]",True,70319.0,categorized_16_5,,,,
1858,reminder-none,,reminder,52.0,1588418.0,0.0-48.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['ALTERNATIVE', 'CRANE', 'NOVEL', 'SOUL', 'JOURNAL', 'FALCON', 'BLUES', 'EDITORIAL', 'HAWK', 'VULTURE', 'LIGHTNING', 'EARTHQUAKE', 'FROST', 'PUNK', 'FOG', 'PAPER']",0.0,False,[],,,categorized_16_5,,0.0,,
1859,text-recall,,text-recall,55.0,1707833.0,0.0-51.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,"['LACROSSE', 'JEANS', 'SLIP', 'STREAM', 'SUIT', 'SOLAR', 'HAT', 'DESERT', 'OCEAN', 'BOXING', 'SKIING', 'ELECTRICITY', 'WRESTLING', 'OIL', 'CLIFF', 'NUCLEAR']","['LACROSSE', 'JEANS', 'SLIP', 'STREAM', 'SUIT', 'SOLAR', 'HAT', 'DESERT', 'OCEAN', 'BOXING', 'SKIING', 'ELECTRICITY', 'WRESTLING', 'OIL', 'CLIFF', 'NUCLEAR']",[],"['OIL', 'LACROSSE', 'JEANS', 'HAT', 'WRESTLING', 'CLIFF', 'ELECTRICITY', 'STREAM', 'SOLAR', 'SLIP', 'BOXING', 'SKIING', 'SUIT', 'NUCLEAR', 'DESERT', 'OCEAN']",16.0,False,"[7822, 2826, 3003, 4128, 2736, 4130, 2139, 2183, 2935, 2543, 2114, 3837, 3963, 3929, 1500, 2234]",True,57629.0,categorized_16_11,,,,
1860,reminder-none,,reminder,56.0,1708840.0,0.0-52.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['OIL', 'LACROSSE', 'JEANS', 'HAT', 'WRESTLING', 'CLIFF', 'ELECTRICITY', 'STREAM', 'SOLAR', 'SLIP', 'BOXING', 'SKIING', 'SUIT', 'NUCLEAR', 'DESERT', 'OCEAN']",0.0,False,[],,,categorized_16_11,,0.0,,
1861,text-recall,,text-recall,59.0,1846283.0,0.0-55.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,"['GLACIER', 'SNOW', 'HILL', 'PENCIL', 'SUNSHINE', 'DESK', 'FLOOD', 'WATERFALL', 'LAKE', 'LEVEL', 'CYCLONE', 'SCREW', 'LAMP', 'AXE', 'CABINET', 'BUREAU']","['GLACIER', 'SNOW', 'HILL', 'PENCIL', 'SUNSHINE', 'DESK', 'FLOOD', 'WATERFALL', 'LAKE', 'LEVEL', 'CYCLONE', 'SCREW', 'LAMP', 'AXE', 'CABINET', 'BUREAU']",[],"['LAMP', 'WATERFALL', 'FLOOD', 'AXE', 'DESK', 'PENCIL', 'SUNSHINE', 'SNOW', 'GLACIER', 'HILL', 'BUREAU', 'CYCLONE', 'CABINET', 'LAKE', 'LEVEL', 'SCREW']",16.0,False,"[7761, 3833, 3855, 22640, 3440, 2256, 3714, 2213, 2312, 2550, 1745, 2770, 2744, 1647, 1927, 4712]",True,74333.0,categorized_16_0,,,,
1862,reminder-none,,reminder,60.0,1847288.0,0.0-56.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['LAMP', 'WATERFALL', 'FLOOD', 'AXE', 'DESK', 'PENCIL', 'SUNSHINE', 'SNOW', 'GLACIER', 'HILL', 'BUREAU', 'CYCLONE', 'CABINET', 'LAKE', 'LEVEL', 'SCREW']",0.0,False,[],,,categorized_16_0,,0.0,,
1863,text-recall,,text-recall,63.0,1997020.0,0.0-59.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,"['RAIN', 'COAT', 'DUCK', 'CLOUDS', 'GALE', 'HAIL', 'REPORT', 'CROW', 'PIGEON', 'PEACOCK', 'NOTE', 'ROBE', 'GALE', 'TIE', 'TROUSERS', 'LETTER', 'PAMPHLET']","['RAIN', 'COAT', 'DUCK', 'CLOUDS', 'GALE', 'HAIL', 'REPORT', 'CROW', 'PIGEON', 'PEACOCK', 'NOTE', 'ROBE', 'TIE', 'TROUSERS', 'LETTER', 'PAMPHLET']",[],"['PEACOCK', 'NOTE', 'PIGEON', 'REPORT', 'HAIL', 'CROW', 'ROBE', 'PAMPHLET', 'TIE', 'GALE', 'TROUSERS', 'RAIN', 'COAT', 'DUCK', 'LETTER', 'CLOUDS']",16.0,False,"[8382, 1171, 2842, 2356, 4881, 2691, 2927, 2095, 2374, 3726, 2376, 2361, 5075, 2246, 4674, 1449, 7156]",True,90000.0,categorized_16_6,,,,
1864,reminder-none,,reminder,64.0,1998031.0,0.0-60.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['PEACOCK', 'NOTE', 'PIGEON', 'REPORT', 'HAIL', 'CROW', 'ROBE', 'PAMPHLET', 'TIE', 'GALE', 'TROUSERS', 'RAIN', 'COAT', 'DUCK', 'LETTER', 'CLOUDS']",0.0,False,[],,,categorized_16_6,,0.0,,
1865,text-recall,,text-recall,67.0,2115289.0,0.0-63.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,"['BLIZZARD', 'BUNGALOW', 'DROUGHT', 'SOIL', 'PITCHFORK', 'BEAR', 'PALACE', 'CLIPPERS', 'TYPHOON', 'ELK', 'SQUIRREL', 'MOOSE', 'WIND', 'HUT', 'HOTEL', 'BUCKET']","['BLIZZARD', 'BUNGALOW', 'DROUGHT', 'SOIL', 'PITCHFORK', 'BEAR', 'PALACE', 'CLIPPERS', 'TYPHOON', 'ELK', 'SQUIRREL', 'MOOSE', 'WIND', 'HUT', 'HOTEL', 'BUCKET']",[],"['BUCKET', 'PALACE', 'PITCHFORK', 'BEAR', 'SOIL', 'CLIPPERS', 'TYPHOON', 'HOTEL', 'ELK', 'DROUGHT', 'SQUIRREL', 'HUT', 'WIND', 'MOOSE', 'BLIZZARD', 'BUNGALOW']",16.0,False,"[4512, 2562, 8176, 2579, 6370, 3166, 2491, 3463, 4035, 2538, 2766, 3090, 2605, 2122, 1793, 2508]",True,60847.0,categorized_16_7,,,,
1866,reminder-none,,reminder,68.0,2116297.0,0.0-64.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['BUCKET', 'PALACE', 'PITCHFORK', 'BEAR', 'SOIL', 'CLIPPERS', 'TYPHOON', 'HOTEL', 'ELK', 'DROUGHT', 'SQUIRREL', 'HUT', 'WIND', 'MOOSE', 'BLIZZARD', 'BUNGALOW']",0.0,False,[],,,categorized_16_7,,0.0,,
1867,text-recall,,text-recall,71.0,2263060.0,0.0-67.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,"['WILLOW', 'ATTIC', 'KITCHEN', 'FOUNDATION', 'LOBBY', 'EUCALYPTUS', 'POPLAR', 'VOLLEYBALL', 'RUGBY', 'HANDBALL', 'SAILING', 'FIR', 'VIOLA', 'KEYBOARD', 'BANJO', 'HARMONICA']","['WILLOW', 'ATTIC', 'KITCHEN', 'FOUNDATION', 'LOBBY', 'EUCALYPTUS', 'POPLAR', 'VOLLEYBALL', 'RUGBY', 'HANDBALL', 'SAILING', 'FIR', 'VIOLA', 'KEYBOARD', 'BANJO', 'HARMONICA']",[],"['HARMONICA', 'BANJO', 'RUGBY', 'HANDBALL', 'SAILING', 'FIR', 'VOLLEYBALL', 'KEYBOARD', 'POPLAR', 'ATTIC', 'WILLOW', 'VIOLA', 'EUCALYPTUS', 'LOBBY', 'FOUNDATION', 'KITCHEN']",16.0,False,"[8021, 3720, 2993, 5564, 3490, 5407, 5173, 4609, 3764, 5169, 4946, 2012, 1980, 3138, 3545, 3817]",True,90000.0,categorized_16_8,,,,
1868,reminder-none,,reminder,72.0,2264065.0,0.0-68.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['HARMONICA', 'BANJO', 'RUGBY', 'HANDBALL', 'SAILING', 'FIR', 'VOLLEYBALL', 'KEYBOARD', 'POPLAR', 'ATTIC', 'WILLOW', 'VIOLA', 'EUCALYPTUS', 'LOBBY', 'FOUNDATION', 'KITCHEN']",0.0,False,[],,,categorized_16_8,,0.0,,
1869,text-recall,,text-recall,75.0,2392800.0,0.0-71.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,False,"['PERCH', 'HARP', 'FIDDLE', 'ACORDION', 'SYMPHONY', 'CLARINET', 'CATFISH', 'FOLK', 'PARROT', 'DOVE', 'SWAN', 'FITCH', 'CARP', 'POP', 'INSTRUMENTAL', 'SHARK']","['PERCH', 'HARP', 'FIDDLE', 'ACCORDION', 'SYMPHONY', 'CLARINET', 'CATFISH', 'FOLK', 'PARROT', 'DOVE', 'SWAN', 'CARP', 'POP', 'INSTRUMENTAL', 'SHARK']",['FINCH'],"['PERCH', 'CARP', 'ACCORDION', 'FIDDLE', 'FINCH', 'POP', 'DOVE', 'SWAN', 'INSTRUMENTAL', 'SHARK', 'FOLK', 'CATFISH', 'SYMPHONY', 'CLARINET', 'PARROT', 'HARP']",15.0,False,"[9995, 2669, 1531, 2776, 6263, 5333, 4808, 1627, 2733, 4724, 3313, 1832, 2043, 1660, 6746, 1471]",True,69518.0,categorized_16_2,,,,
1870,reminder-none,,reminder,76.0,2393822.0,0.0-72.0,pilot,131,opt-rems-full,debugMq74c:debugmkM06,True,[],[],[],"['PERCH', 'CARP', 'ACCORDION', 'FIDDLE', 'FINCH', 'POP', 'DOVE', 'SWAN', 'INSTRUMENTAL', 'SHARK', 'FOLK', 'CATFISH', 'SYMPHONY', 'CLARINET', 'PARROT', 'HARP']",0.0,False,[],,,categorized_16_2,,0.0,,
1871,total-points,,,,,,,,,debugMq74c:debugmkM06,,,,,,,,,,,,,,debugMq74c:debugmkM06,177.0
1872,survey-text,"{""Q0"":""6127a8e226fe6885ed1d135b""}",survey-text,0.0,5966.0,0.0-0.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,,,,,,,,,,,,,,,
1873,text-recall,,text-recall,25.0,584010.0,0.0-27.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['COW', 'FOX', 'MANUSCRIPT', 'TROUSERS', 'SUIT', 'JEANS']","['COW', 'FOX', 'MANUSCRIPT', 'TROUSERS', 'SUIT', 'JEANS']","['BULLETIN', 'VOLCANO', 'CAMEL', 'EDITORIAL', 'BELT', 'GOAT', 'RIVER', 'PLATEAU', 'VALLEY', 'PAMPHLET']","['TROUSERS', 'BULLETIN', 'VOLCANO', 'CAMEL', 'SUIT', 'MANUSCRIPT', 'EDITORIAL', 'BELT', 'GOAT', 'RIVER', 'PLATEAU', 'VALLEY', 'FOX', 'JEANS', 'PAMPHLET', 'COW']",6.0,False,"[1211, 1201, 4231, 2403, 1183, 16452]",True,30302.0,categorized_16_8,,,,
1874,reminder-worst,,reminder,26.0,650399.0,0.0-28.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['EDITORIAL', 'PLATEUA', 'PLATEUA', 'FOX', 'COW', 'VALLEY']","['PLATEAU', 'VALLEY']","['BULLETIN', 'VOLCANO', 'CAMEL', 'BELT', 'GOAT', 'RIVER', 'PAMPHLET']","['TROUSERS', 'BULLETIN', 'VOLCANO', 'CAMEL', 'SUIT', 'MANUSCRIPT', 'EDITORIAL', 'BELT', 'GOAT', 'RIVER', 'PLATEAU', 'VALLEY', 'FOX', 'JEANS', 'PAMPHLET', 'COW']",2.0,False,"[2417, 5924, 7715, 4482, 1477, 9277]",,,categorized_16_8,EDITORIAL,3000.0,,
1875,text-recall,,text-recall,29.0,730394.0,0.0-31.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['MOSQUITO', 'WASP', 'HORNET', 'BUTTERFLY', 'LACROSSE', 'SAILING', 'FISHING']","['MOSQUITO', 'WASP', 'HORNET', 'BUTTERFLY', 'LACROSSE', 'SAILING', 'FISHING']","['COAT', 'VANILLA', 'GYMNASTICS', 'SLIP', 'SAGE', 'SKIRT', 'GINGER', 'SUGAR', 'BOXERS']","['SAILING', 'FISHING', 'COAT', 'VANILLA', 'GYMNASTICS', 'LACROSSE', 'SLIP', 'SAGE', 'HORNET', 'SKIRT', 'GINGER', 'SUGAR', 'MOSQUITO', 'WASP', 'BOXERS', 'BUTTERFLY']",7.0,False,"[2597, 796, 1540, 2677, 2335, 1285, 1664]",True,21647.0,categorized_16_0,,,,
1876,reminder-best,,reminder,30.0,805329.0,0.0-32.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['VANILLA', 'GARLIC']",[],"['COAT', 'GYMNASTICS', 'SLIP', 'SAGE', 'SKIRT', 'GINGER', 'SUGAR', 'BOXERS']","['SAILING', 'FISHING', 'COAT', 'VANILLA', 'GYMNASTICS', 'LACROSSE', 'SLIP', 'SAGE', 'HORNET', 'SKIRT', 'GINGER', 'SUGAR', 'MOSQUITO', 'WASP', 'BOXERS', 'BUTTERFLY']",0.0,False,"[2422, 10589]",,,categorized_16_0,VANILLA,3000.0,,
1877,text-recall,,text-recall,33.0,900049.0,0.0-35.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['FELT', 'VELVET', 'SATIN', 'OIL', 'ENCYCLOPEDIA', 'LETTER', 'SUGAR']","['FELT', 'VELVET', 'OIL', 'ENCYCLOPEDIA', 'LETTER']","['BALL', 'BLOCKS', 'NOVEL', 'KITE', 'STEAM', 'ELECTRICITY', 'DIGEST', 'LINEN', 'PUZZLE', 'RAYON', 'SOLAR']","['BALL', 'BLOCKS', 'NOVEL', 'KITE', 'STEAM', 'VELVET', 'ELECTRICITY', 'DIGEST', 'LINEN', 'OIL', 'PUZZLE', 'LETTER', 'RAYON', 'ENCYCLOPEDIA', 'SOLAR', 'FELT']",5.0,False,"[1450, 2082, 2571, 3835, 13485, 2074, 6396]",True,39064.0,categorized_16_3,,,,
1878,reminder-random,,reminder,34.0,957699.0,0.0-36.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['BLOCKS', 'PAPER', 'LOYALTY']",[],"['BALL', 'NOVEL', 'KITE', 'STEAM', 'ELECTRICITY', 'DIGEST', 'LINEN', 'PUZZLE', 'RAYON', 'SOLAR']","['BALL', 'BLOCKS', 'NOVEL', 'KITE', 'STEAM', 'VELVET', 'ELECTRICITY', 'DIGEST', 'LINEN', 'OIL', 'PUZZLE', 'LETTER', 'RAYON', 'ENCYCLOPEDIA', 'SOLAR', 'FELT']",0.0,False,"[2467, 20668, 6432]",,,categorized_16_3,BLOCKS,3000.0,,
1879,text-recall,,text-recall,37.0,1055696.0,0.0-39.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['FENCING', 'HOSE', 'BOXING', 'SKIING', 'GYMNASTICS', 'BARGE', 'BATTLESHIP', 'PITCHFORK', 'SOIL', 'YACHT']","['FENCING', 'HOSE', 'BOXING', 'SKIING', 'BARGE', 'BATTLESHIP', 'PITCHFORK', 'SOIL', 'YACHT']","['BALLET', 'GOLF', 'CLIPPERS', 'DESTROYER', 'BALLROOM', 'SWING', 'SALSA']","['BATTLESHIP', 'SOIL', 'BARGE', 'PITCHFORK', 'YACHT', 'BALLET', 'GOLF', 'SKIING', 'CLIPPERS', 'DESTROYER', 'BALLROOM', 'SWING', 'SALSA', 'FENCING', 'BOXING', 'HOSE']",9.0,False,"[2457, 864, 1660, 1578, 3149, 1534, 4275, 5964, 7349, 7795]",True,42171.0,categorized_16_6,,,,
1880,reminder-random,,reminder,38.0,1110174.0,0.0-40.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['GOLF', 'BALL']",[],"['BALLET', 'CLIPPERS', 'DESTROYER', 'BALLROOM', 'SWING', 'SALSA']","['BATTLESHIP', 'SOIL', 'BARGE', 'PITCHFORK', 'YACHT', 'BALLET', 'GOLF', 'SKIING', 'CLIPPERS', 'DESTROYER', 'BALLROOM', 'SWING', 'SALSA', 'FENCING', 'BOXING', 'HOSE']",0.0,False,"[2830, 8271]",,,categorized_16_6,GOLF,3000.0,,
1881,text-recall,,text-recall,41.0,1215133.0,0.0-43.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['TSUNAMI', 'FLOOD', 'CHERRY', 'MOOSE', 'FIG', 'STRAWBERRY', 'TSUNAMI', 'FROST', 'RULER', 'LEVEL', 'SHOVEL', 'AXE']","['TSUNAMI', 'FLOOD', 'CHERRY', 'MOOSE', 'FIG', 'STRAWBERRY', 'FROST', 'RULER', 'LEVEL', 'AXE']","['WIND', 'RAT', 'DONKEY', 'SCREW', 'GRAPE', 'MOUSE']","['STRAWBERRY', 'WIND', 'RAT', 'FROST', 'FLOOD', 'DONKEY', 'SCREW', 'RULER', 'GRAPE', 'AXE', 'LEVEL', 'FIG', 'MOUSE', 'TSUNAMI', 'CHERRY', 'MOOSE']",10.0,False,"[2308, 1133, 1728, 1383, 1659, 3017, 2973, 10849, 3698, 1400, 13576, 1487]",True,49105.0,categorized_16_4,,,,
1882,reminder-worst,,reminder,42.0,1262543.0,0.0-44.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['GRAPE', 'MOUSE', 'RAT']","['MOUSE', 'RAT']","['WIND', 'DONKEY', 'SCREW']","['STRAWBERRY', 'WIND', 'RAT', 'FROST', 'FLOOD', 'DONKEY', 'SCREW', 'RULER', 'GRAPE', 'AXE', 'LEVEL', 'FIG', 'MOUSE', 'TSUNAMI', 'CHERRY', 'MOOSE']",2.0,False,"[1876, 1391, 2448]",,,categorized_16_4,GRAPE,3000.0,,
1883,text-recall,,text-recall,45.0,1366890.0,0.0-47.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['TECHNO', 'INSTRUMENTAL', 'TURTLE', 'SPARROW', 'CHICKEN', 'KEYBOARD', 'INSTRUMENTAL', 'OPERA']","['TECHNO', 'INSTRUMENTAL', 'TURTLE', 'SPARROW', 'CHICKEN', 'KEYBOARD', 'OPERA']","['RABBIT', 'ACCORDION', 'HARMONICA', 'VIOLA', 'CRANE', 'BEAR', 'PENGUIN', 'REGGAE', 'PIG']","['KEYBOARD', 'RABBIT', 'ACCORDION', 'OPERA', 'HARMONICA', 'VIOLA', 'CRANE', 'BEAR', 'PENGUIN', 'REGGAE', 'CHICKEN', 'SPARROW', 'TECHNO', 'PIG', 'TURTLE', 'INSTRUMENTAL']",7.0,False,"[2204, 2761, 2659, 1467, 2446, 4562, 15467, 998]",True,48118.0,categorized_16_7,,,,
1884,reminder-best,,reminder,46.0,1415734.0,0.0-48.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['PENGUIN', 'VIOLA']",['VIOLA'],"['RABBIT', 'ACCORDION', 'HARMONICA', 'CRANE', 'BEAR', 'REGGAE', 'PIG']","['KEYBOARD', 'RABBIT', 'ACCORDION', 'OPERA', 'HARMONICA', 'VIOLA', 'CRANE', 'BEAR', 'PENGUIN', 'REGGAE', 'CHICKEN', 'SPARROW', 'TECHNO', 'PIG', 'TURTLE', 'INSTRUMENTAL']",1.0,False,"[2312, 2601]",,,categorized_16_7,PENGUIN,3000.0,,
1885,text-recall,,text-recall,49.0,1509020.0,0.0-51.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['FAULT', 'RIDGE', 'CARRIAGE', 'VULTURE', 'CROW', 'ROOF', 'ROOM', 'BATHROOM', 'ENTRANCE']","['FAULT', 'RIDGE', 'CARRIAGE', 'VULTURE', 'CROW', 'ROOF', 'ROOM', 'BATHROOM', 'ENTRANCE']","['PEACOCK', 'OCEAN', 'LAKE', 'JEEP', 'BICYCLE', 'PARROT', 'TROLLEY']","['VULTURE', 'PEACOCK', 'OCEAN', 'LAKE', 'ROOM', 'ENTRANCE', 'JEEP', 'BICYCLE', 'PARROT', 'ROOF', 'CROW', 'BATHROOM', 'TROLLEY', 'FAULT', 'RIDGE', 'CARRIAGE']",9.0,False,"[3239, 1573, 2373, 3663, 1572, 1591, 1002, 2251, 1795]",True,35022.0,categorized_16_10,,,,
1886,reminder-random,,reminder,50.0,1570664.0,0.0-52.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['TROLLEY', 'OCEAN']",['OCEAN'],"['PEACOCK', 'LAKE', 'JEEP', 'BICYCLE', 'PARROT']","['VULTURE', 'PEACOCK', 'OCEAN', 'LAKE', 'ROOM', 'ENTRANCE', 'JEEP', 'BICYCLE', 'PARROT', 'ROOF', 'CROW', 'BATHROOM', 'TROLLEY', 'FAULT', 'RIDGE', 'CARRIAGE']",1.0,False,"[2499, 2414]",,,categorized_16_10,TROLLEY,3000.0,,
1887,text-recall,,text-recall,53.0,1757644.0,0.0-55.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['SHEEP', 'HOTEL', 'WATERFALL', 'LIZARD', 'ELK', 'BUNGALOW', 'MAROON', 'GRAY', 'ISLAND', 'STREAM', 'POND', 'LAKE']","['SHEEP', 'HOTEL', 'WATERFALL', 'LIZARD', 'ELK', 'BUNGALOW', 'MAROON', 'GRAY', 'ISLAND', 'STREAM', 'POND']","['DORMITORY', 'BROWN', 'INDIGO', 'MANSION', 'WOLF']","['DORMITORY', 'ISLAND', 'MAROON', 'ELK', 'STREAM', 'BROWN', 'BUNGALOW', 'INDIGO', 'LIZARD', 'POND', 'MANSION', 'HOTEL', 'WOLF', 'GRAY', 'WATERFALL', 'SHEEP']",11.0,False,"[1651, 1506, 1957, 2880, 1617, 4723, 1451, 2157, 3272, 1496, 1267, 970]",True,40150.0,categorized_16_1,,,,
1888,reminder-best,,reminder,54.0,1813964.0,0.0-56.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,['BROWN'],[],"['DORMITORY', 'INDIGO', 'MANSION', 'WOLF']","['DORMITORY', 'ISLAND', 'MAROON', 'ELK', 'STREAM', 'BROWN', 'BUNGALOW', 'INDIGO', 'LIZARD', 'POND', 'MANSION', 'HOTEL', 'WOLF', 'GRAY', 'WATERFALL', 'SHEEP']",0.0,False,[1519],,,categorized_16_1,BROWN,3000.0,,
1889,text-recall,,text-recall,57.0,2043037.0,0.0-59.0,pilot,41,opt-rems-full,debug23jS7:debugtYcVC,False,"['DROUGHT', 'PIGEON', 'FALCON', 'WING', 'GORGE', 'FLOOD', 'SNOW', 'GLACIER', 'CAVE']","['DROUGHT', 'PIGEON', 'FALCON', 'WING', 'GORGE', 'SNOW', 'GLACIER', 'CAVE']","['DUCK', 'KITCHEN', 'CLOUDS', 'OWL', 'EARTHQUAKE', 'ELEVATOR', 'LOBBY', 'CANYON']","['FALCON', 'WING', 'GLACIER', 'DUCK', 'GORGE', 'KITCHEN', 'CLOUDS', 'OWL', 'EARTHQUAKE', 'ELEVATOR', 'CAVE', 'LOBBY', 'CANYON', 'SNOW', 'PIGEON', 'DROUGHT']",8.0,False,"[2254, 1890, 1596, 1157, 14665, 2172, 862, 23620, 5514]",True,55892.0,categorized_16_11,,,,
